sa2_code,sa2_name,pop_65plus,pop_70plus,total_pop,state,pop_70plus_2031,pop_70plus_2041,pct_70plus_2024,growth_rate_70plus_2031
101021007,Braidwood,1212.0,810.0,4484.0,NSW,1041,1232,0.1806,0.285
101021008,Karabar,1307.0,880.0,8446.0,NSW,1131,1338,0.1042,0.285
101021009,Queanbeyan,1643.0,1161.0,11373.0,NSW,1492,1766,0.1021,0.285
101021010,Queanbeyan - East,679.0,460.0,5132.0,NSW,591,700,0.0896,0.285
101021012,Queanbeyan West - Jerrabomberra,1344.0,842.0,12877.0,NSW,1082,1281,0.0654,0.285
101021610,Googong,351.0,209.0,8497.0,NSW,269,318,0.0246,0.285
101021611,Queanbeyan Surrounds,2863.0,1859.0,17664.0,NSW,2389,2828,0.1052,0.285
101031013,Bombala,711.0,518.0,2469.0,NSW,666,788,0.2098,0.285
101031014,Cooma,1531.0,1122.0,6716.0,NSW,1442,1707,0.1671,0.285
101031015,Cooma Surrounds,933.0,660.0,3554.0,NSW,848,1004,0.1857,0.285
101031016,Jindabyne - Berridale,1257.0,840.0,8557.0,NSW,1079,1278,0.0982,0.285
101041017,Batemans Bay,2732.0,1946.0,8653.0,NSW,2501,2960,0.2249,0.285
101041018,Batemans Bay - South,3081.0,2264.0,9069.0,NSW,2909,3444,0.2496,0.285
101041019,Bega - Tathra,2330.0,1649.0,9009.0,NSW,2119,2508,0.183,0.285
101041020,Bega-Eden Hinterland,2570.0,1573.0,9824.0,NSW,2021,2393,0.1601,0.285
101041021,Broulee - Tomakin,1247.0,900.0,3932.0,NSW,1156,1369,0.2289,0.285
101041022,Deua - Wadbilliga,18.0,14.0,41.0,NSW,18,21,0.3415,0.285
101041023,Eden,1150.0,834.0,3459.0,NSW,1072,1269,0.2411,0.285
101041024,Eurobodalla Hinterland,1121.0,771.0,3700.0,NSW,991,1173,0.2084,0.285
101041025,Merimbula - Tura Beach,4052.0,2890.0,11616.0,NSW,3714,4396,0.2488,0.285
101041026,Moruya - Tuross Head,3020.0,2099.0,8684.0,NSW,2697,3193,0.2417,0.285
101041027,Narooma - Bermagui,3898.0,2747.0,10016.0,NSW,3530,4178,0.2743,0.285
101051539,Goulburn,5224.0,3833.0,25304.0,NSW,4925,5830,0.1515,0.285
101051540,Goulburn Surrounds,3542.0,2470.0,14258.0,NSW,3174,3757,0.1732,0.285
101061541,Yass,1479.0,1056.0,6816.0,NSW,1357,1606,0.1549,0.285
101061542,Yass Surrounds,2343.0,1567.0,13197.0,NSW,2014,2383,0.1187,0.285
101061543,Young,2498.0,1877.0,10971.0,NSW,2412,2855,0.1711,0.285
101061544,Young Surrounds,2031.0,1422.0,7769.0,NSW,1827,2163,0.183,0.285
102011028,Avoca Beach - Copacabana,1410.0,910.0,7570.0,NSW,1169,1384,0.1202,0.285
102011029,Box Head - MacMasters Beach,3453.0,2544.0,11213.0,NSW,3269,3869,0.2269,0.285
102011030,Calga - Kulnura,1083.0,749.0,4694.0,NSW,962,1139,0.1596,0.285
102011031,Erina - Green Point,4561.0,3625.0,14680.0,NSW,4658,5514,0.2469,0.285
102011032,Gosford - Springfield,4233.0,3024.0,22599.0,NSW,3886,4600,0.1338,0.285
102011033,Kariong,779.0,493.0,6490.0,NSW,634,750,0.076,0.285
102011034,Kincumber - Picketts Valley,2255.0,1816.0,7590.0,NSW,2334,2762,0.2393,0.285
102011035,Narara,1182.0,781.0,7344.0,NSW,1004,1188,0.1063,0.285
102011036,Niagara Park - Lisarow,1355.0,938.0,8264.0,NSW,1205,1427,0.1135,0.285
102011037,Point Clare - Koolewong,1542.0,1146.0,6667.0,NSW,1473,1743,0.1719,0.285
102011038,Saratoga - Davistown,1781.0,1308.0,7348.0,NSW,1681,1989,0.178,0.285
102011039,Terrigal - North Avoca,3326.0,2307.0,15437.0,NSW,2964,3509,0.1494,0.285
102011040,Umina - Booker Bay - Patonga,6921.0,5196.0,25007.0,NSW,6677,7903,0.2078,0.285
102011041,Wamberal - Forresters Beach,2315.0,1701.0,10862.0,NSW,2186,2587,0.1566,0.285
102011042,Woy Woy - Blackwall,3818.0,2836.0,14554.0,NSW,3644,4314,0.1949,0.285
102011043,Wyoming,2494.0,1931.0,11339.0,NSW,2481,2937,0.1703,0.285
102021044,Bateau Bay - Killarney Vale,4909.0,3555.0,22990.0,NSW,4568,5407,0.1546,0.285
102021045,Blue Haven - San Remo,1559.0,1095.0,11620.0,NSW,1407,1665,0.0942,0.285
102021046,Budgewoi - Buff Point - Halekulani,2516.0,1813.0,9967.0,NSW,2330,2758,0.1819,0.285
102021047,Chittaway Bay - Tumbi Umbi,3190.0,2331.0,16354.0,NSW,2995,3545,0.1425,0.285
102021048,Gorokan - Kanwal - Charmhaven,5194.0,3794.0,22740.0,NSW,4875,5771,0.1668,0.285
102021049,Jilliby - Yarramalong,680.0,453.0,3566.0,NSW,582,689,0.127,0.285
102021050,Lake Munmorah - Mannering Park,3820.0,3024.0,11055.0,NSW,3886,4600,0.2735,0.285
102021051,Ourimbah - Fountaindale,788.0,505.0,4927.0,NSW,649,768,0.1025,0.285
102021052,Summerland Point - Gwandalan,1600.0,1165.0,6915.0,NSW,1497,1772,0.1685,0.285
102021053,The Entrance,4587.0,3379.0,16155.0,NSW,4342,5139,0.2092,0.285
102021054,Toukley - Norah Head,2666.0,1957.0,9847.0,NSW,2515,2977,0.1987,0.285
102021055,Tuggerah - Kangy Angy,879.0,619.0,5296.0,NSW,795,941,0.1169,0.285
102021056,Warnervale - Wadalba,3002.0,2257.0,22353.0,NSW,2900,3433,0.101,0.285
102021057,Wyong,1782.0,1269.0,9360.0,NSW,1631,1930,0.1356,0.285
103011059,Bathurst - East,2216.0,1569.0,13334.0,NSW,2016,2386,0.1177,0.285
103011060,Bathurst Surrounds,1582.0,1072.0,7043.0,NSW,1378,1631,0.1522,0.285
103011061,Oberon,1311.0,969.0,4844.0,NSW,1245,1474,0.2,0.285
103011612,Bathurst - South,2258.0,1691.0,10491.0,NSW,2173,2572,0.1612,0.285
103011613,Bathurst - West,2554.0,1748.0,14817.0,NSW,2246,2659,0.118,0.285
103021062,Condobolin,1421.0,982.0,6351.0,NSW,1262,1494,0.1546,0.285
103021063,Cowra,2351.0,1721.0,9138.0,NSW,2211,2618,0.1883,0.285
103021064,Cowra Surrounds,1633.0,1221.0,5772.0,NSW,1569,1857,0.2115,0.285
103021065,Forbes,2299.0,1738.0,9990.0,NSW,2233,2643,0.174,0.285
103021066,Grenfell,1114.0,846.0,3578.0,NSW,1087,1287,0.2364,0.285
103021067,Parkes (NSW),2237.0,1600.0,11000.0,NSW,2056,2434,0.1455,0.285
103021068,Parkes Surrounds,761.0,547.0,3092.0,NSW,703,832,0.1769,0.285
103021069,West Wyalong,1263.0,898.0,5423.0,NSW,1154,1366,0.1656,0.285
103031070,Lithgow,3219.0,2364.0,12235.0,NSW,3038,3596,0.1932,0.285
103031071,Lithgow Surrounds,2092.0,1472.0,8511.0,NSW,1892,2239,0.173,0.285
103031072,Mudgee,2359.0,1753.0,12796.0,NSW,2253,2666,0.137,0.285
103031073,Mudgee Surrounds - East,1087.0,807.0,3392.0,NSW,1037,1227,0.2379,0.285
103031074,Mudgee Surrounds - West,2467.0,1695.0,11393.0,NSW,2178,2578,0.1488,0.285
103031075,Wollangambe - Wollemi,0.0,0.0,0.0,NSW,0,0,0.0,0.285
103041076,Blayney,1624.0,1111.0,7784.0,NSW,1428,1690,0.1427,0.285
103041077,Orange,4176.0,3122.0,19121.0,NSW,4012,4749,0.1633,0.285
103041078,Orange - North,3493.0,2469.0,23856.0,NSW,3173,3755,0.1035,0.285
103041079,Orange Surrounds,2534.0,1759.0,12039.0,NSW,2260,2675,0.1461,0.285
104011080,Grafton,4748.0,3547.0,19720.0,NSW,4558,5395,0.1799,0.285
104011081,Grafton Surrounds,4515.0,2989.0,17755.0,NSW,3841,4546,0.1683,0.285
104011082,Maclean - Yamba - Iluka,6449.0,4711.0,18241.0,NSW,6054,7165,0.2583,0.285
104021083,Bellingen,1455.0,964.0,6152.0,NSW,1239,1466,0.1567,0.285
104021084,Coffs Harbour - North,4247.0,3153.0,18845.0,NSW,4052,4796,0.1673,0.285
104021085,Coffs Harbour - South,2798.0,2159.0,11391.0,NSW,2774,3284,0.1895,0.285
104021086,Coramba - Nana Glen - Bucca,807.0,515.0,4049.0,NSW,662,783,0.1272,0.285
104021087,Dorrigo,1066.0,748.0,3225.0,NSW,961,1138,0.2319,0.285
104021088,Korora - Emerald Beach,2364.0,1581.0,10833.0,NSW,2032,2405,0.1459,0.285
104021089,Sawtell - Boambee,4986.0,3680.0,20362.0,NSW,4729,5597,0.1807,0.285
104021090,Urunga,1630.0,1119.0,4942.0,NSW,1438,1702,0.2264,0.285
104021091,Woolgoolga - Arrawarra,3729.0,2617.0,15048.0,NSW,3363,3980,0.1739,0.285
105011092,Bourke - Brewarrina,552.0,366.0,3499.0,NSW,470,557,0.1046,0.285
105011093,Cobar,756.0,520.0,4097.0,NSW,668,791,0.1269,0.285
105011094,Coonamble,745.0,525.0,4077.0,NSW,675,799,0.1288,0.285
105011095,Nyngan - Warren,1073.0,818.0,4548.0,NSW,1051,1244,0.1799,0.285
105011096,Walgett - Lightning Ridge,1326.0,888.0,5784.0,NSW,1141,1351,0.1535,0.285
105021097,Broken Hill,4157.0,2937.0,17541.0,NSW,3774,4467,0.1674,0.285
105021098,Far West,484.0,348.0,2299.0,NSW,447,529,0.1514,0.285
105031099,Coonabarabran,2354.0,1708.0,7946.0,NSW,2195,2598,0.215,0.285
105031100,Dubbo - East,1752.0,1154.0,10799.0,NSW,1483,1755,0.1069,0.285
105031101,Dubbo - South,3354.0,2414.0,20412.0,NSW,3102,3672,0.1183,0.285
105031102,Dubbo - West,1799.0,1373.0,10901.0,NSW,1764,2088,0.126,0.285
105031103,Dubbo Surrounds,1243.0,837.0,6146.0,NSW,1076,1273,0.1362,0.285
105031104,Gilgandra,1096.0,761.0,4409.0,NSW,978,1157,0.1726,0.285
105031105,Narromine,1450.0,1065.0,6501.0,NSW,1369,1620,0.1638,0.285
105031106,Wellington,1885.0,1289.0,9122.0,NSW,1656,1961,0.1413,0.285
106011107,Branxton - Greta - Pokolbin,2178.0,1428.0,15349.0,NSW,1835,2172,0.093,0.285
106011108,Cessnock,4635.0,3298.0,24267.0,NSW,4238,5016,0.1359,0.285
106011109,Cessnock Surrounds,1899.0,1221.0,9776.0,NSW,1569,1857,0.1249,0.285
106011110,Dungog,2284.0,1567.0,9905.0,NSW,2014,2383,0.1582,0.285
106011111,Kurri Kurri - Abermain,3497.0,2372.0,22814.0,NSW,3048,3608,0.104,0.285
106011112,Singleton,2512.0,1705.0,17447.0,NSW,2191,2593,0.0977,0.285
106011113,Singleton Surrounds,1043.0,671.0,5480.0,NSW,862,1021,0.1224,0.285
106021114,Maitland,1227.0,822.0,9537.0,NSW,1056,1250,0.0862,0.285
106021116,Maitland - North,1615.0,1100.0,9162.0,NSW,1414,1673,0.1201,0.285
106021614,East Maitland - Metford,3297.0,2354.0,18260.0,NSW,3025,3580,0.1289,0.285
106021615,Rutherford (North) - Aberglasslyn,2802.0,2027.0,19283.0,NSW,2605,3083,0.1051,0.285
106021616,Rutherford (South) - Telarah,1288.0,860.0,9065.0,NSW,1105,1308,0.0949,0.285
106021617,Tenambit - East Maitland,2424.0,1819.0,10469.0,NSW,2337,2767,0.1738,0.285
106021618,Thornton - Millers Forest,2155.0,1407.0,19023.0,NSW,1808,2140,0.074,0.285
106031119,Anna Bay,2308.0,1685.0,6791.0,NSW,2165,2563,0.2481,0.285
106031120,Lemon Tree Passage - Tanilba Bay,2043.0,1408.0,7001.0,NSW,1809,2142,0.2011,0.285
106031121,Nelson Bay Peninsula,7958.0,5952.0,22043.0,NSW,7648,9053,0.27,0.285
106031122,Raymond Terrace,2739.0,1908.0,15255.0,NSW,2452,2902,0.1251,0.285
106031123,Seaham - Woodville,1035.0,676.0,5845.0,NSW,869,1028,0.1157,0.285
106031124,Tea Gardens - Hawks Nest,3109.0,2417.0,5806.0,NSW,3106,3676,0.4163,0.285
106031125,Williamtown - Medowie - Karuah,3377.0,2342.0,16615.0,NSW,3009,3562,0.141,0.285
106041126,Muswellbrook,1851.0,1285.0,12611.0,NSW,1651,1954,0.1019,0.285
106041127,Muswellbrook Surrounds,794.0,578.0,4206.0,NSW,743,879,0.1374,0.285
106041128,Scone,1254.0,896.0,6030.0,NSW,1151,1363,0.1486,0.285
106041129,Scone Surrounds,1931.0,1334.0,8376.0,NSW,1714,2029,0.1593,0.285
107011131,Dapto - Avondale,5343.0,4097.0,24765.0,NSW,5265,6232,0.1654,0.285
107011132,Horsley - Kembla Grange,1560.0,1015.0,14086.0,NSW,1304,1544,0.0721,0.285
107011133,Port Kembla Industrial,1.0,0.0,7.0,NSW,0,0,0.0,0.285
107011134,Unanderra - Mount Kembla,2918.0,2024.0,15351.0,NSW,2601,3079,0.1318,0.285
107011545,Berkeley - Lake Heights - Cringila,2584.0,1913.0,14223.0,NSW,2458,2910,0.1345,0.285
107011546,Port Kembla - Warrawong,2020.0,1507.0,9744.0,NSW,1936,2292,0.1547,0.285
107011547,Windang - Primbee,1372.0,1063.0,4220.0,NSW,1366,1617,0.2519,0.285
107021135,Illawarra Catchment Reserve,0.0,0.0,5.0,NSW,0,0,0.0,0.285
107031136,Albion Park - Macquarie Pass,2807.0,1878.0,22698.0,NSW,2413,2856,0.0827,0.285
107031137,Albion Park Rail,1429.0,998.0,6839.0,NSW,1282,1518,0.1459,0.285
107031138,Kiama,2960.0,2213.0,9014.0,NSW,2844,3366,0.2455,0.285
107031139,Kiama Downs - Minnamurra,1534.0,1025.0,5959.0,NSW,1317,1559,0.172,0.285
107031140,Kiama Hinterland - Gerringong,2284.0,1650.0,8084.0,NSW,2120,2510,0.2041,0.285
107031141,Shellharbour - Flinders,3559.0,2417.0,20479.0,NSW,3106,3676,0.118,0.285
107031142,Shellharbour - Oak Flats,2557.0,1811.0,10960.0,NSW,2327,2755,0.1652,0.285
107031143,Warilla,4763.0,3499.0,20590.0,NSW,4496,5322,0.1699,0.285
107041144,Balgownie - Fairy Meadow,4424.0,3344.0,22124.0,NSW,4297,5086,0.1511,0.285
107041145,Corrimal - Tarrawanna - Bellambi,3245.0,2322.0,16459.0,NSW,2984,3532,0.1411,0.285
107041146,Figtree - Keiraville,3816.0,2826.0,23569.0,NSW,3631,4298,0.1199,0.285
107041147,Helensburgh,1353.0,876.0,9122.0,NSW,1126,1332,0.096,0.285
107041148,Thirroul - Austinmer - Coalcliff,2449.0,1647.0,12081.0,NSW,2116,2505,0.1363,0.285
107041150,Woonona - Bulli - Russell Vale,3868.0,2758.0,20827.0,NSW,3544,4195,0.1324,0.285
107041548,Wollongong - East,3610.0,2640.0,17789.0,NSW,3392,4015,0.1484,0.285
107041549,Wollongong - West,2393.0,1733.0,17352.0,NSW,2227,2636,0.0999,0.285
108011151,Bulahdelah - Stroud,1483.0,1005.0,5394.0,NSW,1291,1529,0.1863,0.285
108011152,Forster,5803.0,4368.0,14899.0,NSW,5613,6644,0.2932,0.285
108011153,Forster-Tuncurry Surrounds,2306.0,1538.0,7219.0,NSW,1976,2339,0.213,0.285
108011154,Tuncurry,2803.0,2207.0,6299.0,NSW,2836,3357,0.3504,0.285
108021155,Kempsey,3517.0,2528.0,16232.0,NSW,3248,3845,0.1557,0.285
108021156,Kempsey Surrounds,2632.0,1693.0,9589.0,NSW,2176,2575,0.1766,0.285
108021157,Macksville - Scotts Head,1584.0,1091.0,5366.0,NSW,1402,1659,0.2033,0.285
108021158,Nambucca Heads,2644.0,1962.0,7211.0,NSW,2521,2984,0.2721,0.285
108021159,Nambucca Heads Surrounds,2313.0,1526.0,8409.0,NSW,1961,2321,0.1815,0.285
108021160,South West Rocks,2379.0,1756.0,5954.0,NSW,2256,2671,0.2949,0.285
108031161,Lord Howe Island,97.0,69.0,448.0,NSW,89,105,0.154,0.285
108041162,Laurieton - Bonny Hills,7610.0,5740.0,19482.0,NSW,7376,8731,0.2946,0.285
108041164,Port Macquarie - West,6701.0,5166.0,23389.0,NSW,6638,7857,0.2209,0.285
