sa2_code,sa2_name,sa3_code,state,residential_recipients,home_care_recipients,chsp_recipients,total_recipients
101021007,Braidwood,10102,1,35,65,136,236
101021008,Karabar,10102,1,38,70,148,257
101021009,Queanbeyan,10102,1,51,93,195,339
101021010,Queanbeyan - East,10102,1,20,37,77,134
101021012,Queanbeyan West - Jerrabomberra,10102,1,37,67,142,246
101021610,Googong,10102,1,9,17,35,61
101021611,Queanbeyan Surrounds,10102,1,81,149,313,542
101031013,Bombala,10103,1,12,31,110,153
101031014,Cooma,10103,1,26,67,239,332
101031015,Cooma Surrounds,10103,1,16,39,141,195
101031016,Jindabyne - Berridale,10103,1,20,50,179,249
101041017,Batemans Bay,10104,1,101,215,413,729
101041018,Batemans Bay - South,10104,1,117,251,480,848
101041019,Bega - Tathra,10104,1,85,182,350,618
101041020,Bega-Eden Hinterland,10104,1,81,174,334,589
101041021,Broulee - Tomakin,10104,1,47,100,191,337
101041022,Deua - Wadbilliga,10104,1,1,2,3,5
101041023,Eden,10104,1,43,92,177,312
101041024,Eurobodalla Hinterland,10104,1,40,85,164,289
101041025,Merimbula - Tura Beach,10104,1,149,320,613,1082
101041026,Moruya - Tuross Head,10104,1,108,232,445,786
101041027,Narooma - Bermagui,10104,1,142,304,583,1029
101051539,Goulburn,10105,1,237,430,877,1544
101051540,Goulburn Surrounds,10105,1,153,277,565,995
101061541,Yass,10106,1,60,74,292,426
101061542,Yass Surrounds,10106,1,89,110,433,632
101061543,Young,10106,1,107,131,519,757
101061544,Young Surrounds,10106,1,81,99,393,573
102011028,Avoca Beach - Copacabana,10201,1,51,80,200,331
102011029,Box Head - MacMasters Beach,10201,1,144,223,560,927
102011030,Calga - Kulnura,10201,1,42,66,165,273
102011031,Erina - Green Point,10201,1,205,318,797,1320
102011032,Gosford - Springfield,10201,1,171,265,665,1101
102011033,Kariong,10201,1,28,43,108,180
102011034,Kincumber - Picketts Valley,10201,1,103,159,400,661
102011035,Narara,10201,1,44,68,172,284
102011036,Niagara Park - Lisarow,10201,1,53,82,206,342
102011037,Point Clare - Koolewong,10201,1,65,100,252,417
102011038,Saratoga - Davistown,10201,1,74,115,288,476
102011039,Terrigal - North Avoca,10201,1,130,202,508,840
102011040,Umina - Booker Bay - Patonga,10201,1,294,456,1143,1893
102011041,Wamberal - Forresters Beach,10201,1,96,149,374,620
102011042,Woy Woy - Blackwall,10201,1,160,249,624,1033
102011043,Wyoming,10201,1,109,169,425,703
102021044,Bateau Bay - Killarney Vale,10202,1,232,385,887,1504
102021045,Blue Haven - San Remo,10202,1,72,119,273,463
102021046,Budgewoi - Buff Point - Halekulani,10202,1,118,196,452,767
102021047,Chittaway Bay - Tumbi Umbi,10202,1,152,252,581,986
102021048,Gorokan - Kanwal - Charmhaven,10202,1,248,411,946,1605
102021049,Jilliby - Yarramalong,10202,1,30,49,113,192
102021050,Lake Munmorah - Mannering Park,10202,1,198,327,754,1279
102021051,Ourimbah - Fountaindale,10202,1,33,55,126,214
102021052,Summerland Point - Gwandalan,10202,1,76,126,291,493
102021053,The Entrance,10202,1,221,366,843,1429
102021054,Toukley - Norah Head,10202,1,128,212,488,828
102021055,Tuggerah - Kangy Angy,10202,1,40,67,154,262
102021056,Warnervale - Wadalba,10202,1,147,244,563,955
102021057,Wyong,10202,1,83,137,317,537
103011059,Bathurst - East,10301,1,122,102,393,617
103011060,Bathurst Surrounds,10301,1,83,70,269,422
103011061,Oberon,10301,1,75,63,243,381
103011612,Bathurst - South,10301,1,131,110,424,665
103011613,Bathurst - West,10301,1,136,114,438,687
103021062,Condobolin,10302,1,55,71,384,510
103021063,Cowra,10302,1,97,124,673,894
103021064,Cowra Surrounds,10302,1,69,88,478,635
103021065,Forbes,10302,1,98,126,680,903
103021066,Grenfell,10302,1,47,61,331,440
103021067,Parkes (NSW),10302,1,90,116,626,832
103021068,Parkes Surrounds,10302,1,31,40,214,284
103021069,West Wyalong,10302,1,50,65,351,467
103031070,Lithgow,10303,1,105,147,646,899
103031071,Lithgow Surrounds,10303,1,66,92,402,560
103031072,Mudgee,10303,1,78,109,479,667
103031073,Mudgee Surrounds - East,10303,1,36,50,221,307
103031074,Mudgee Surrounds - West,10303,1,76,106,463,645
103031075,Wollangambe - Wollemi,10303,1,0,0,0,0
103041076,Blayney,10304,1,80,80,299,459
103041077,Orange,10304,1,224,225,839,1289
103041078,Orange - North,10304,1,177,178,664,1019
103041079,Orange Surrounds,10304,1,126,127,473,726
104011080,Grafton,10401,1,197,401,1025,1623
104011081,Grafton Surrounds,10401,1,166,338,864,1368
104011082,Maclean - Yamba - Iluka,10401,1,261,533,1361,2155
104021083,Bellingen,10402,1,51,88,292,432
104021084,Coffs Harbour - North,10402,1,168,289,955,1412
104021085,Coffs Harbour - South,10402,1,115,198,654,967
104021086,Coramba - Nana Glen - Bucca,10402,1,27,47,156,231
104021087,Dorrigo,10402,1,40,69,227,335
104021088,Korora - Emerald Beach,10402,1,84,145,479,708
104021089,Sawtell - Boambee,10402,1,196,337,1115,1648
104021090,Urunga,10402,1,60,103,339,501
104021091,Woolgoolga - Arrawarra,10402,1,139,240,793,1172
105011092,Bourke - Brewarrina,10501,1,9,37,111,157
105011093,Cobar,10501,1,13,53,157,223
105011094,Coonamble,10501,1,13,53,159,226
105011095,Nyngan - Warren,10501,1,21,83,247,351
105011096,Walgett - Lightning Ridge,10501,1,23,90,269,381
105021097,Broken Hill,10502,1,161,151,806,1118
105021098,Far West,10502,1,19,18,96,133
105031099,Coonabarabran,10503,1,121,206,512,840
105031100,Dubbo - East,10503,1,82,139,346,567
105031101,Dubbo - South,10503,1,171,292,724,1187
105031102,Dubbo - West,10503,1,97,166,412,675
105031103,Dubbo Surrounds,10503,1,59,101,251,412
105031104,Gilgandra,10503,1,54,92,228,374
105031105,Narromine,10503,1,76,129,319,524
105031106,Wellington,10503,1,91,156,387,634
106011107,Branxton - Greta - Pokolbin,10601,1,76,97,342,514
106011108,Cessnock,10601,1,175,223,790,1188
106011109,Cessnock Surrounds,10601,1,65,83,292,440
106011110,Dungog,10601,1,83,106,375,564
106011111,Kurri Kurri - Abermain,10601,1,126,161,568,854
106011112,Singleton,10601,1,91,115,408,614
106011113,Singleton Surrounds,10601,1,36,45,161,242
106021114,Maitland,10602,1,52,69,224,344
106021116,Maitland - North,10602,1,69,92,300,461
106021614,East Maitland - Metford,10602,1,148,197,641,986
106021615,Rutherford (North) - Aberglasslyn,10602,1,127,169,552,849
106021616,Rutherford (South) - Telarah,10602,1,54,72,234,360
106021617,Tenambit - East Maitland,10602,1,114,152,496,762
106021618,Thornton - Millers Forest,10602,1,88,118,383,589
106031119,Anna Bay,10603,1,62,150,358,570
106031120,Lemon Tree Passage - Tanilba Bay,10603,1,52,125,299,476
106031121,Nelson Bay Peninsula,10603,1,219,529,1264,2012
106031122,Raymond Terrace,10603,1,70,170,405,645
106031123,Seaham - Woodville,10603,1,25,60,144,228
106031124,Tea Gardens - Hawks Nest,10603,1,89,215,513,817
106031125,Williamtown - Medowie - Karuah,10603,1,86,208,497,792
106041126,Muswellbrook,10604,1,67,88,387,542
106041127,Muswellbrook Surrounds,10604,1,30,40,174,244
106041128,Scone,10604,1,46,62,270,378
106041129,Scone Surrounds,10604,1,69,92,402,563
107011131,Dapto - Avondale,10701,1,285,336,1046,1667
107011132,Horsley - Kembla Grange,10701,1,71,83,259,413
107011133,Port Kembla Industrial,10701,1,0,0,0,0
107011134,Unanderra - Mount Kembla,10701,1,141,166,517,824
107011545,Berkeley - Lake Heights - Cringila,10701,1,133,157,488,778
107011546,Port Kembla - Warrawong,10701,1,105,124,385,613
107011547,Windang - Primbee,10701,1,74,87,271,433
107021135,Illawarra Catchment Reserve,10702,1,0,0,28,28
107031136,Albion Park - Macquarie Pass,10703,1,95,126,415,635
107031137,Albion Park Rail,10703,1,50,67,220,338
107031138,Kiama,10703,1,112,148,489,749
107031139,Kiama Downs - Minnamurra,10703,1,52,69,226,347
107031140,Kiama Hinterland - Gerringong,10703,1,83,111,364,558
107031141,Shellharbour - Flinders,10703,1,122,162,534,818
107031142,Shellharbour - Oak Flats,10703,1,91,121,400,613
107031143,Warilla,10703,1,177,234,773,1184
107041144,Balgownie - Fairy Meadow,10704,1,187,231,748,1166
107041145,Corrimal - Tarrawanna - Bellambi,10704,1,130,161,519,810
107041146,Figtree - Keiraville,10704,1,158,195,632,985
107041147,Helensburgh,10704,1,49,61,196,305
107041148,Thirroul - Austinmer - Coalcliff,10704,1,92,114,368,574
107041150,Woonona - Bulli - Russell Vale,10704,1,154,191,617,962
107041548,Wollongong - East,10704,1,147,183,591,920
107041549,Wollongong - West,10704,1,97,120,388,604
108011151,Bulahdelah - Stroud,10801,1,62,145,208,415
108011152,Forster,10801,1,268,630,904,1803
108011153,Forster-Tuncurry Surrounds,10801,1,94,222,318,635
108011154,Tuncurry,10801,1,136,319,457,911
108021155,Kempsey,10802,1,167,283,654,1104
108021156,Kempsey Surrounds,10802,1,112,189,438,739
108021157,Macksville - Scotts Head,10802,1,72,122,282,476
108021158,Nambucca Heads,10802,1,130,220,507,857
108021159,Nambucca Heads Surrounds,10802,1,101,171,395,666
108021160,South West Rocks,10802,1,116,196,454,767
108031161,Lord Howe Island,10803,1,0,12,0,12
108041162,Laurieton - Bonny Hills,10804,1,354,655,1471,2480
108041164,Port Macquarie - West,10804,1,318,590,1323,2232
108041165,Port Macquarie Surrounds,10804,1,58,107,240,405
108041166,Wauchope,10804,1,139,259,580,978
108041619,Port Macquarie - East,10804,1,128,238,534,901
108041620,Port Macquarie - South,10804,1,237,439,984,1660
108051167,Gloucester,10805,1,66,227,318,611
108051168,Old Bar - Manning Point - Red Head,10805,1,149,517,723,1389
108051169,Taree,10805,1,199,689,965,1852
108051170,Taree Surrounds,10805,1,148,514,720,1382
108051171,Wingham,10805,1,50,174,243,467
109011172,Albury - East,10901,1,160,210,628,998
109011173,Albury - North,10901,1,104,137,409,650
109011174,Albury - South,10901,1,121,158,473,752
109011175,Albury Surrounds,10901,1,131,171,511,813
