sa3_code,sa3_name,chsp_recipients,home_care_recipients,residential_recipients,total_recipients
10102,Queanbeyan,1046,498,271,1815
10103,Snowy Mountains,669,187,74,930
10104,South Coast,3753,1957,914,6624
10105,Goulburn - Mulwaree,1442,707,390,2539
10106,Young - Yass,1636,414,338,2388
10201,Gosford,6887,2745,1770,11402
10202,Wyong,6788,2946,1778,11512
10301,Bathurst,1766,458,548,2772
10302,Lachlan Valley,3738,691,536,4965
10303,Lithgow - Mudgee,2212,504,361,3077
10304,Orange,2274,611,607,3492
10401,Clarence Valley,3250,1272,624,5146
10402,Coffs Harbour,5008,1515,881,7404
10501,Bourke - Cobar - Coonamble,943,317,79,1339
10502,Broken Hill and Far West,902,169,180,1251
10503,Dubbo,3179,1281,752,5212
10601,Lower Hunter,2936,830,651,4417
10602,Maitland,2830,868,652,4350
10603,Port Stephens,3481,1456,602,5539
10604,Upper Hunter,1233,281,212,1726
10701,Dapto - Port Kembla,2967,953,808,4728
10702,Illawarra Catchment Reserve,28,0,0,28
10703,Kiama - Shellharbour,3421,1038,782,5241
10704,Wollongong,4059,1255,1013,6327
10801,Great Lakes,1888,1316,560,3764
10802,Kempsey - Nambucca,2729,1181,699,4609
10803,Lord Howe Island,0,12,0,12
10804,Port Macquarie,5133,2288,1234,8655
10805,Taree - Gloucester,2969,2121,612,5702
10901,Albury,2706,904,691,4301
10902,Lower Murray,793,163,100,1056
10903,Upper Murray exc. Albury,2577,670,434,3681
11001,Armidale,1681,351,295,2327
11002,Inverell - Tenterfield,2683,457,388,3528
11003,Moree - Narrabri,844,199,156,1199
11004,Tamworth - Gunnedah,4001,739,757,5497
11101,Lake Macquarie - East,5042,1695,1092,7829
11102,Lake Macquarie - West,3491,1147,1115,5753
11103,Newcastle,5421,2022,1991,9434
11201,Richmond Valley - Coastal,3944,1678,872,6494
11202,Richmond Valley - Hinterland,3321,1396,597,5314
11203,Tweed Valley,4879,2382,1245,8506
11301,Griffith - Murrumbidgee (West),1871,635,499,3005
11302,Tumut - Tumbarumba,747,206,95,1048
11303,Wagga Wagga,3807,1499,915,6221
11401,Shoalhaven,5337,1560,1180,8077
11402,Southern Highlands,1859,318,626,2803
11501,Baulkham Hills,4389,1241,1818,7448
11502,Dural - Wisemans Ferry,445,227,358,1030
11503,Hawkesbury,456,117,34,607
11504,Rouse Hill - McGraths Hill,661,211,113,985
11601,Blacktown,3698,1372,794,5864
11602,Blacktown - North,1948,627,373,2948
11603,Mount Druitt,2573,1021,752,4346
11701,Botany,1252,545,156,1953
11702,Marrickville - Sydenham - Petersham,976,441,303,1720
11703,Sydney Inner City,2930,1334,673,4937
11801,Eastern Suburbs - North,2510,852,934,4296
11802,Eastern Suburbs - South,3432,1328,1059,5819
11901,Bankstown,3717,2372,1659,7748
11902,Canterbury,3783,1904,866,6553
11903,Hurstville,4062,1976,1243,7281
11904,Kogarah - Rockdale,3964,1712,1373,7049
12001,Canada Bay,2200,853,672,3725
12002,Leichhardt,1096,349,332,1777
12003,Strathfield - Burwood - Ashfield,3669,1707,1425,6801
12101,Chatswood - Lane Cove,2633,915,837,4385
12102,Hornsby,2053,840,868,3761
12103,Ku-ring-gai,3343,1102,1461,5906
12104,North Sydney - Mosman,2229,604,504,3337
12201,Manly,828,217,166,1211
12202,Pittwater,1840,556,598,2994
12203,Warringah,4376,1432,1384,7192
12301,Camden,1493,261,527,2281
12302,Campbelltown (NSW),3937,1015,1282,6234
12303,Wollondilly,1182,197,260,1639
12401,Blue Mountains,2949,807,650,4406
12403,Penrith,3779,1161,1000,5940
12404,Richmond - Windsor,1187,346,378,1911
12405,St Marys,1240,473,234,1947
12501,Auburn,1340,1047,382,2769
12502,Carlingford,1638,821,207,2666
12503,Merrylands - Guildford,3735,2049,1041,6825
12504,Parramatta,3175,1441,1484,6100
12601,Pennant Hills - Epping,1237,495,282,2014
12602,Ryde - Hunters Hill,3780,1858,1464,7102
12701,Bringelly - Green Valley,1811,996,456,3263
12702,Fairfield,3591,3502,1312,8405
12703,Liverpool,2155,1439,592,4186
12801,Cronulla - Miranda - Caringbah,4454,1116,1187,6757
12802,Sutherland - Menai - Heathcote,3589,942,1306,5837
20101,Ballarat,4868,1451,1157,7476
20102,Creswick - Daylesford - Ballan,1359,362,281,2002
20103,Maryborough - Pyrenees,1699,269,266,2234
20201,Bendigo,4290,853,1134,6277
20202,Heathcote - Castlemaine - Kyneton,2592,416,541,3549
20203,Loddon - Elmore,918,102,56,1076
20301,Barwon - West,563,185,167,915
20302,Geelong,8282,2989,2321,13592
20303,Surf Coast - Bellarine Peninsula,4343,1141,931,6415
20401,Upper Goulburn Valley,3090,415,586,4091
20402,Wangaratta - Benalla,3287,382,591,4260
20403,Wodonga - Alpine,3813,490,583,4886
20501,Baw Baw,2623,783,526,3932
20502,Gippsland - East,3981,1403,493,5877
20503,Gippsland - South West,4420,1715,716,6851
20504,Latrobe Valley,3871,1576,917,6364
20505,Wellington,2419,969,428,3816
20601,Brunswick - Coburg,3024,1174,405,4603
20602,Darebin - South,1516,899,412,2827
20603,Essendon,1926,705,610,3241
20604,Melbourne City,1631,574,676,2881
20605,Port Phillip,1936,730,560,3226
20606,Stonnington - West,1380,468,188,2036
20607,Yarra,2558,1268,264,4090
20701,Boroondara,4187,2197,1943,8327
20702,Manningham - West,4090,2307,1246,7643
20703,Whitehorse - West,3323,2012,1049,6384
20801,Bayside,3703,942,1275,5920
20802,Glen Eira,4959,1863,1514,8336
20803,Kingston,5238,1442,1071,7751
20804,Stonnington - East,1056,364,643,2063
20901,Banyule,4877,1603,1106,7586
20902,Darebin - North,4070,1793,951,6814
20903,Nillumbik - Kinglake,1888,409,484,2781
20904,Whittlesea - Wallan,7257,2423,1556,11236
21001,Keilor,2787,1139,583,4509
21002,Macedon Ranges,992,188,261,1441
