sa2_code,sa2_name,state,irsd_score,irsd_decile,irsd_percentile,irsad_score,irsad_decile,remoteness_cat
101021007,Braidwood,NSW,1024.286387,6.0,56.0,1000.677063,6.0,1
101021008,Karabar,NSW,994.0937235,5.0,42.0,982.3133727,5.0,1
101021009,Queanbeyan,NSW,1009.758824,5.0,49.0,998.1232242,6.0,1
101021010,Queanbeyan - East,NSW,1024.576053,6.0,56.0,1014.994386,6.0,1
101021012,Queanbeyan West - Jerrabomberra,NSW,1098.347577,10.0,95.0,1107.453507,9.0,1
101021610,Googong,NSW,1128.164641,10.0,100.0,1154.426851,10.0,1
101021611,Queanbeyan Surrounds,NSW,1097.82308,10.0,95.0,1105.02951,9.0,1
101031013,Bombala,NSW,965.3029161,3.0,28.0,934.5696507,3.0,1
101031014,Cooma,NSW,982.1728261,4.0,35.0,953.1749186,4.0,1
101031015,Cooma Surrounds,NSW,1038.942345,7.0,65.0,1007.437936,6.0,1
101031016,Jindabyne - Berridale,NSW,1053.546087,8.0,74.0,1024.568048,7.0,1
101041017,Batemans Bay,NSW,945.8786427,2.0,20.0,909.0083275,2.0,1
101041018,Batemans Bay - South,NSW,989.2500154,4.0,39.0,953.8973025,4.0,1
101041019,Bega - Tathra,NSW,975.3070067,4.0,32.0,941.7067316,3.0,1
101041020,Bega-Eden Hinterland,NSW,990.6632134,4.0,40.0,953.8607887,4.0,1
101041021,Broulee - Tomakin,NSW,1033.629775,7.0,62.0,1002.25248,6.0,1
101041022,Deua - Wadbilliga,NSW,1024.831443,6.0,56.0,929.4223271,3.0,1
101041023,Eden,NSW,909.9268724,2.0,12.0,880.3397413,1.0,1
101041024,Eurobodalla Hinterland,NSW,994.8973423,5.0,42.0,954.4907036,4.0,1
101041025,Merimbula - Tura Beach,NSW,1011.811811,6.0,51.0,970.3042043,4.0,1
101041026,Moruya - Tuross Head,NSW,993.2754395,5.0,41.0,949.297613,3.0,1
101041027,Narooma - Bermagui,NSW,985.983102,4.0,37.0,945.8544224,3.0,1
101051539,Goulburn,NSW,957.3132883,3.0,25.0,932.7917531,3.0,1
